season;round;date;time;location;team1;team2;result1;result2;attendance
2013-2014;14.0;2013.11.10;18:30;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Újpest FC;1.0;1.0;1852.0
2013-2014;13.0;2013.11.01;19:00;Perutz Stadion;Lombard Pápa Termál FC;Kecskeméti TE-Phoenix Mecano;3.0;1.0;1200.0
2013-2014;13.0;2013.11.02;14:00;DVTK Stadion;Diósgyőri VTK;Ferencvárosi TC;1.0;4.0;9271.0
2013-2014;13.0;2013.11.02;16:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Pécsi Mecsek FC-Matias;0.0;1.0;2300.0
2013-2014;13.0;2013.11.02;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Videoton FC;1.0;0.0;1500.0
2013-2014;13.0;2013.11.02;18:00;Sóstói Stadion;Puskás Akadémia FC;MTK Budapest FC;1.0;1.0;300.0
2013-2014;13.0;2013.11.02;20:00;Fehérvári úti Stadion;MVM-Paksi FC;Szombathelyi Haladás;0.0;1.0;500.0
2013-2014;13.0;2013.11.03;16:30;Szusza Ferenc Stadion;Újpest FC;Debreceni Vasutas SC-TEVA;1.0;4.0;2811.0
2013-2014;13.0;2013.11.03;18:30;Bozsik Stadion;Budapest Honvéd FC;Győri ETO FC;1.0;1.0;500.0
2013-2014;12.0;2013.10.25;19:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Újpest FC;0.0;1.0;1700.0
2013-2014;12.0;2013.10.26;14:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Lombard Pápa Termál FC;2.0;2.0;4500.0
2013-2014;12.0;2013.10.26;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Kaposvári Rákóczi FC;3.0;1.0;1000.0
2013-2014;12.0;2013.10.26;16:00;Puskás Ferenc Stadion;Ferencvárosi TC;Mezőkövesd Zsóry FC;1.0;1.0;5687.0
2013-2014;12.0;2013.10.26;18:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;MVM-Paks;3.0;1.0;1324.0
2013-2014;12.0;2013.10.26;20:00;Rohonci úti Stadion;Szombathelyi Haladás;Diósgyőri VTK;2.0;2.0;3525.0
2013-2014;12.0;2013.10.27;16:30;Sóstói Stadion;Videoton FC;Budapest Honvéd FC;1.0;2.0;4202.0
2013-2014;12.0;2013.10.27;18:30;ETO Park;Győri ETO FC;Puskás Akadémia FC;2.0;2.0;2600.0
2013-2014;11.0;2013.10.18;19:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Szombathelyi Haladás;0.0;2.0;1800.0
2013-2014;11.0;2013.10.19;14:00;Sóstói Stadion;Videoton FC;Puskás Akadémia FC;3.0;0.0;3020.0
2013-2014;11.0;2013.10.19;16:00;Perutz Stadion;Lombard Pápa Termál FC;MTK Budapest FC;0.0;2.0;1000.0
2013-2014;11.0;2013.10.19;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Debreceni Vasutas SC-TEVA;0.0;3.0;1412.0
2013-2014;11.0;2013.10.19;18:00;Fehérvári úti Stadion;MVM-Paks;Diósgyőri VTK;0.0;2.0;1500.0
2013-2014;11.0;2013.10.19;20:00;Bozsik Stadion;Budapest Honvéd FC;Pécsi Mecsek FC-Matias;3.0;1.0;600.0
2013-2014;11.0;2013.10.20;16:30;Szusza Ferenc Stadion;Újpest FC;Győri ETO FC;1.0;2.0;1964.0
2013-2014;11.0;2013.10.20;18:30;Rákóczi Stadion;Kaposvári Rákóczi FC;Ferencvárosi TC;1.0;1.0;3000.0
2013-2014;10.0;2013.10.04;19:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;MVM-Paks;2.0;2.0;3000.0
2013-2014;10.0;2013.10.05;14:00;ETO Park;Győri ETO FC;Lombard Pápa Termál FC;4.0;1.0;1800.0
2013-2014;10.0;2013.10.05;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Puskás Akadémia FC;1.0;2.0;1500.0
2013-2014;10.0;2013.10.05;16:00;DVTK Stadion;Diósgyőri VTK;Mezőkövesd Zsóry FC;5.0;0.0;5705.0
2013-2014;10.0;2013.10.05;18:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Kecskeméti TE-Phoenix Mecano;2.0;2.0;1200.0
2013-2014;10.0;2013.10.05;20:00;Rohonci úti Stadion;Szombathelyi Haladás;Kaposvári Rákóczi FC;4.0;1.0;1780.0
2013-2014;10.0;2013.10.06;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Budapest Honvéd FC;1.0;2.0;7433.0
2013-2014;10.0;2013.10.06;18:30;Sóstói Stadion;Videoton FC;Újpest FC;3.0;0.0;3420.0
2013-2014;9.0;2013.09.27;19:00;Fehérvári úti Stadion;MVM-Paksi FC;Mezőkövesd Zsóry FC;1.0;1.0;500.0
2013-2014;9.0;2013.09.28;14:00;Perutz Stadion;Lombard Pápa Termál FC;Videoton FC;1.0;2.0;1200.0
2013-2014;9.0;2013.09.28;16:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Diósgyőri VTK;0.0;2.0;1500.0
2013-2014;9.0;2013.09.28;16:00;Sóstói Stadion;Puskás Akadémia FC;Ferencvárosi TC;3.0;1.0;2300.0
2013-2014;9.0;2013.09.28;18:00;Bozsik Stadion;Budapest Honvéd FC;Szombathelyi Haladás;2.0;1.0;1021.0
2013-2014;9.0;2013.09.28;20:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Győri ETO FC;1.0;0.0;1326.0
2013-2014;9.0;2013.09.29;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;MTK Budapest FC;1.0;0.0;4000.0
2013-2014;9.0;2013.09.29;18:30;Szusza Ferenc Stadion;Újpest FC;Pécsi Mecsek FC-Matias;1.0;1.0;1847.0
2013-2014;8.0;2013.09.20;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Lombard Pápa Termál FC;1.0;3.0;2500.0
2013-2014;8.0;2013.09.21;14:00;DVTK Stadion;Diósgyőri VTK;Budapest Honvéd FC;2.0;0.0;4852.0
2013-2014;8.0;2013.09.21;16:00;Rohonci úti Stadion;Szombathelyi Haladás;Puskás Akadémia FC;2.0;1.0;2840.0
2013-2014;8.0;2013.09.21;18:00;Hidegkuti Nándor Stadion;MTK Budapest FC;MVM-Paks;2.0;0.0;1300.0
2013-2014;8.0;2013.09.21;18:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Kaposvári Rákóczi FC;1.0;3.0;2900.0
2013-2014;8.0;2013.09.21;20:00;Sóstói Stadion;Videoton FC;Kecskeméti TE-Phoenix Mecano;1.0;0.0;2550.0
2013-2014;8.0;2013.09.22;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Újpest FC;3.0;1.0;22094.0
2013-2014;8.0;2013.09.22;18:30;ETO Park;Győri ETO FC;Debreceni Vasutas SC-TEVA;3.0;0.0;2800.0
2013-2014;7.0;2013.09.13;19:00;Fehérvári úti Stadion;MVM-Paks;Kaposvári Rákóczi FC;2.0;0.0;1000.0
2013-2014;7.0;2013.09.14;14:00;Szusza Ferenc Stadion;Újpest FC;Szombathelyi Haladás;1.0;1.0;2117.0
2013-2014;7.0;2013.09.14;16:00;Sóstói Stadion;Puskás Akadémia FC;Diósgyőri VTK;0.0;2.0;500.0
2013-2014;7.0;2013.09.14;16:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Pécsi Mecsek FC-Matias;2.0;5.0;500.0
2013-2014;7.0;2013.09.14;18:00;Bozsik Stadion;Budapest Honvéd FC;Mezőkövesd Zsóry FC;0.0;2.0;400.0
2013-2014;7.0;2013.09.14;20:00;Perutz Stadion;Lombard Pápa Termál FC;Ferencvárosi TC;0.0;2.0;4000.0
2013-2014;7.0;2013.09.15;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Videoton FC;2.0;1.0;7500.0
2013-2014;7.0;2013.09.15;18:30;Hidegkuti Nándor Stadion;MTK Budapest FC;Győri ETO FC;1.0;2.0;500.0
2013-2014;6.0;2013.08.30;19:00;Rohonci úti Stadion;Szombathelyi Haladás;Lombard Pápa Termál FC;3.0;2.0;3510.0
2013-2014;6.0;2013.08.31;16:30;ETO Park;Győri ETO FC;MVM-Paks;2.0;0.0;2500.0
2013-2014;6.0;2013.08.31;19:00;Puskás Ferenc Stadion;Ferencvárosi TC;Kecskeméti TE-Phoenix Mecano;1.0;0.0;6210.0
2013-2014;6.0;2013.08.31;19:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Puskás Akadémia FC;3.0;1.0;3500.0
2013-2014;6.0;2013.08.31;21:00;DVTK Stadion;Diósgyőri VTK;Újpest FC;2.0;0.0;4569.0
2013-2014;6.0;2013.09.01;16:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Debreceni Vasutas SC-TEVA;2.0;1.0;2200.0
2013-2014;6.0;2013.09.01;18:30;Rákóczi Stadion;Kaposvári Rákóczi FC;Budapest Honvéd FC;0.0;4.0;2000.0
2013-2014;6.0;2013.09.01;20:30;Sóstói Stadion;Videoton FC;MTK Budapest FC;2.0;0.0;2850.0
2013-2014;5.0;2013.08.23;19:00;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Szombathelyi Haladás;1.0;1.0;2048.0
2013-2014;5.0;2013.08.24;16:30;Perutz Stadion;Lombard Pápa Termál FC;Diósgyőri VTK;0.0;1.0;1500.0
2013-2014;5.0;2013.08.24;19:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Pécsi Mecsek FC-Matias;0.0;1.0;1300.0
2013-2014;5.0;2013.08.24;19:00;Sóstói Stadion;Puskás Akadémia FC;Kaposvári Rákóczi FC;1.0;0.0;500.0
2013-2014;5.0;2013.08.24;21:00;Szusza Ferenc Stadion;Újpest FC;Mezőkövesd Zsóry FC;6.0;1.0;1985.0
2013-2014;5.0;2013.08.25;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Ferencvárosi TC;4.0;1.0;9000.0
2013-2014;5.0;2013.08.25;18:30;Fehérvári úti Stadion;MVM-Paksi FC;Budapest Honvéd FC;1.0;1.0;800.0
2013-2014;5.0;2013.08.25;20:30;ETO Park;Győri ETO FC;Videoton FC;1.0;1.0;4000.0
2013-2014;4.0;2013.08.16;19:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Újpest FC;2.0;2.0;2500.0
2013-2014;4.0;2013.08.17;16:30;DVTK Stadion;Diósgyőri VTK;Kecskeméti TE-Phoenix Mecano;1.0;1.0;3351.0
2013-2014;4.0;2013.08.17;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Győri ETO FC;1.0;1.0;1700.0
2013-2014;4.0;2013.08.17;19:00;Mezőkövesdi Városi Stadion;Mezőkövesd Zsóry FC;Lombard Pápa Termál FC;0.0;2.0;4000.0
2013-2014;4.0;2013.08.17;21:00;Puskás Ferenc Stadion;Ferencvárosi TC;MTK Budapest FC;2.0;0.0;8490.0
2013-2014;4.0;2013.08.18;16:30;Bozsik Stadion;Budapest Honvéd FC;Puskás Akadémia FC;3.0;0.0;1100.0
2013-2014;4.0;2013.08.18;18:30;Sóstói Stadion;Videoton FC;MVM-Paks;4.0;1.0;3520.0
2013-2014;4.0;2013.08.18;20:30;Rohonci úti Stadion;Szombathelyi Haladás;Debreceni Vasutas SC-TEVA;1.0;1.0;3210.0
2013-2014;3.0;2013.08.09;19:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Szombathelyi Haladás;0.0;1.0;800.0
2013-2014;3.0;2013.08.10;16:30;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Mezőkövesd Zsóry FC;2.0;6.0;3000.0
2013-2014;3.0;2013.08.10;19:00;Perutz Stadion;Lombard Pápa Termál FC;Kaposvári Rákóczi FC;1.0;0.0;1000.0
2013-2014;3.0;2013.08.10;19:00;Fehérvári úti Stadion;MVM-Paks;Puskás Akadémia FC;4.0;1.0;1000.0
2013-2014;3.0;2013.08.10;21:00;ETO Park;Győri ETO FC;Ferencvárosi TC;1.0;2.0;7000.0
2013-2014;3.0;2013.08.11;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Diósgyőri VTK;4.0;0.0;6500.0
2013-2014;3.0;2013.08.11;18:30;Sóstói Stadion;Videoton FC;Pécsi Mecsek FC-Matias;5.0;1.0;3320.0
2013-2014;3.0;2013.08.11;20:30;Szusza Ferenc Stadion;Újpest FC;Budapest Honvéd FC;1.0;1.0;2467.0
2013-2014;2.0;2013.08.02;19:00;Fehérvári úti Stadion;MVM-Paksi FC;Pécsi Mecsek FC-Matias;2.0;1.0;1500.0
2013-2014;2.0;2013.08.03;16:30;DVTK Stadion;Diósgyőri VTK;MTK Budapest FC;2.0;2.0;4488.0
2013-2014;2.0;2013.08.03;19:00;Rohonci úti Stadion;Szombathelyi Haladás;Győri ETO FC;2.0;2.0;2490.0
2013-2014;2.0;2013.08.03;19:00;Rákóczi Stadion;Kaposvári Rákóczi FC;Kecskeméti TE-Phoenix Mecano;1.0;2.0;2000.0
2013-2014;2.0;2013.08.03;21:00;Sóstói Stadion;Puskás Akadémia FC;Újpest FC;1.0;2.0;1000.0
2013-2014;2.0;2013.08.04;16:30;Puskás Ferenc Stadion;Ferencvárosi TC;Videoton FC;0.0;2.0;12400.0
2013-2014;2.0;2013.08.04;18:30;Bozsik Stadion;Budapest Honvéd FC;Lombard Pápa Termál FC;0.0;1.0;1000.0
2013-2014;2.0;2013.08.04;20:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Mezőkövesd Zsóry FC;1.0;0.0;3500.0
2013-2014;1.0;2013.07.26;19:00;Perutz Stadion;Lombard Pápa Termál FC;Puskás Akadémia FC;1.0;1.0;1000.0
2013-2014;1.0;2013.07.27;16:30;Szusza Ferenc Stadion;Újpest FC;MVM-Paks;1.0;2.0;1613.0
2013-2014;1.0;2013.07.27;19:00;Hidegkuti Nándor Stadion;MTK Budapest FC;Mezőkövesd Zsóry FC;3.0;0.0;1500.0
2013-2014;1.0;2013.07.27;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Ferencvárosi TC;1.0;2.0;5000.0
2013-2014;1.0;2013.07.27;21:00;ETO Park;Győri ETO FC;Diósgyőri VTK;1.0;1.0;2500.0
2013-2014;1.0;2013.07.28;16:30;Sóstói Stadion;Videoton FC;Szombathelyi Haladás;2.0;0.0;4047.0
2013-2014;1.0;2013.07.28;18:30;Széktói Stadion;Kecskeméti TE-Phoenix Mecano;Budapest Honvéd FC;3.0;1.0;2314.0
2013-2014;1.0;2013.07.28;20:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC-TEVA;Kaposvári Rákóczi FC;7.0;1.0;2500.0
2014-2015;30.0;2015.05.29;19:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Nyíregyháza Spartacus FC;2.0;1.0;4400.0
2014-2015;30.0;2015.05.30;14:00;Szusza Ferenc Stadion;Újpest FC;Kecskeméti TE;3.0;0.0;1765.0
2014-2015;30.0;2015.05.30;16:30;Groupama Aréna;Ferencvárosi TC;Videoton FC;2.0;0.0;6087.0
2014-2015;30.0;2015.05.30;19:00;Bozsik Stadion;Budapest Honvéd FC;Lombard Pápa Termál FC;2.0;0.0;1064.0
2014-2015;30.0;2015.05.30;19:00;Fehérvári úti Stadion;Paksi FC;Dunaújváros Pálhalma ASE;2.0;1.0;1278.0
2014-2015;30.0;2015.05.30;19:00;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Puskás Akadémia FC;3.0;0.0;3087.0
2014-2015;30.0;2015.05.31;16:30;DVTK Stadion;Diósgyőri VTK;MTK Budapest;1.0;0.0;3749.0
2014-2015;30.0;2015.05.31;18:30;Nagyerdei Stadion;Debreceni VSC-TEVA;Győri ETO FC;5.0;0.0;3268.0
2014-2015;29.0;2015.05.22;19:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Debreceni VSC-TEVA;0.0;0.0;1149.0
2014-2015;29.0;2015.05.23;14:00;Pancho Aréna;Puskás Akadémia FC;Újpest FC;4.0;5.0;2054.0
2014-2015;29.0;2015.05.23;16:00;Bozsik Stadion;MTK Budapest;Szombathelyi Swietelsky-Haladás;2.0;0.0;768.0
2014-2015;29.0;2015.05.23;18:30;Perutz Stadion;Lombard Pápa Termál FC;Paksi FC;0.0;4.0;475.0
2014-2015;29.0;2015.05.23;18:30;Nyíregyházi Városi Stadion;Nyíregyháza Spartacus FC;Diósgyőri VTK;1.0;2.0;3624.0
2014-2015;29.0;2015.05.23;18:30;ETO Park;Győri ETO FC;Pécsi Mecsek FC-Matias;3.0;0.0;3500.0
2014-2015;29.0;2015.05.24;16:30;Sóstói Stadion;Videoton FC;Kecskeméti TE;1.0;0.0;2970.0
2014-2015;29.0;2015.05.24;18:30;Groupama Aréna;Ferencvárosi TC;Budapest Honvéd FC;1.0;0.0;6745.0
2014-2015;28.0;2015.05.15;19:00;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Nyíregyháza SFC;3.0;1.0;1945.0
2014-2015;28.0;2015.05.16;14:00;Szusza Ferenc Stadion;Újpest FC;MTK Budapest;1.0;0.0;1381.0
2014-2015;28.0;2015.05.16;16:00;Fehérvári úti Stadion;Paksi FC;Ferencvárosi TC;0.0;1.0;3287.0
2014-2015;28.0;2015.05.16;18:30;Bozsik Stadion;Budapest Honvéd FC;Videoton FC;1.0;1.0;924.0
2014-2015;28.0;2015.05.16;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Dunaújváros Pálhalma ASE;2.0;0.0;1253.0
2014-2015;28.0;2015.05.16;18:30;Pancho Aréna;Puskás Akadémia FC;Kecskeméti TE;4.0;0.0;1686.0
2014-2015;28.0;2015.05.17;16:30;DVTK Stadion;Diósgyőri VTK;Győri ETO FC;4.0;1.0;2529.0
2014-2015;28.0;2015.05.17;18:30;Nagyerdei Stadion;Debreceni VSC-TEVA;Lombard Pápa Termál FC;4.0;0.0;4254.0
2014-2015;27.0;2015.05.08;16:00;Bozsik Stadion;MTK Budapest;Puskás Akadémia FC;1.0;0.0;627.0
2014-2015;27.0;2015.05.08;19:00;Nyíregyházi Városi Stadion;Nyíregyháza Spartacus FC;Újpest FC;2.0;4.0;3214.0
2014-2015;27.0;2015.05.09;14:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Diósgyőri VTK;0.0;0.0;1917.0
2014-2015;27.0;2015.05.09;16:00;Bozsik Stadion;Budapest Honvéd FC;Kecskeméti TE;2.0;0.0;1010.0
2014-2015;27.0;2015.05.09;18:30;ETO Park;Győri ETO FC;Szombathelyi Swietelsky-Haladás;3.0;2.0;1618.0
2014-2015;27.0;2015.05.09;18:30;Perutz Stadion;Lombard Pápa Termál FC;Pécsi Mecsek FC-Matias;0.0;2.0;497.0
2014-2015;27.0;2015.05.10;16:30;Groupama Aréna;Ferencvárosi TC;Debreceni VSC-TEVA;1.0;1.0;10463.0
2014-2015;27.0;2015.05.10;18:30;Fehérvári úti Stadion;Paksi FC;Videoton FC;1.0;0.0;1853.0
2014-2015;26.0;2015.05.01;19:00;Fehérvári úti Stadion;Paksi FC;Budapest Honvéd FC;0.0;0.0;1155.0
2014-2015;26.0;2015.05.02;14:00;Nagyerdei Stadion;Debreceni VSC-TEVA;Videoton FC;1.0;2.0;6155.0
2014-2015;26.0;2015.05.02;16:00;Bozsik Stadion;MTK Budapest;Kecskeméti TE;0.0;0.0;821.0
2014-2015;26.0;2015.05.02;18:30;Pancho Aréna;Puskás Akadémia FC;Nyíregyháza Spartacus FC;1.0;2.0;1358.0
2014-2015;26.0;2015.05.02;18:30;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Dunaújváros PASE;1.0;4.0;2436.0
2014-2015;26.0;2015.05.02;18:30;DVTK Stadion;Diósgyőri VTK;Lombard Pápa Termál FC;2.0;1.0;2010.0
2014-2015;26.0;2015.05.03;16:30;Szusza Ferenc Stadion;Újpest FC;Győri ETO FC;1.0;0.0;1058.0
2014-2015;26.0;2015.05.03;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Ferencvárosi TC;2.0;2.0;3724.0
2014-2015;25.0;2015.04.24;19:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Újpest FC;1.0;3.0;1512.0
2014-2015;25.0;2015.04.25;14:00;Groupama Aréna;Ferencvárosi TC;Diósgyőri VTK;3.0;0.0;10114.0
2014-2015;25.0;2015.04.25;16:00;Nyíregyházi Városi Stadion;Nyíregyháza Spartacus FC;MTK Budapest;1.0;1.0;2480.0
2014-2015;25.0;2015.04.25;18:30;Széktói Stadion;Kecskeméti TE;Paksi FC;1.0;1.0;1818.0
2014-2015;25.0;2015.04.25;18:30;Perutz Stadion;Lombard Pápa Termál FC;Szombathelyi Swietelsky-Haladás;2.0;2.0;1500.0
2014-2015;25.0;2015.04.25;18:30;Sóstói Stadion;Videoton FC;Pécsi Mecsek FC-Matias;4.0;0.0;2565.0
2014-2015;25.0;2015.04.26;16:30;ETO Park;Győri ETO FC;Puskás Akadémia FC;1.0;0.0;3084.0
2014-2015;25.0;2015.04.26;18:30;Bozsik Stadion;Budapest Honvéd FC;Debreceni VSC-TEVA;1.0;1.0;1042.0
2014-2015;24.0;2015.04.17;19:00;Nyíregyházi Városi Stadion;Nyíregyháza Spartacus FC;Kecskeméti TE;1.0;1.0;2470.0
2014-2015;24.0;2015.04.18;14:00;Bozsik Stadion;MTK Budapest;Győri ETO FC;2.0;1.0;1091.0
2014-2015;24.0;2015.04.18;16:00;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Ferencvárosi TC;0.0;3.0;2980.0
2014-2015;24.0;2015.04.18;18:30;PMFC Stadion;Pécsi Mecsek FC-Matias;Budapest Honvéd FC;2.0;1.0;1657.0
2014-2015;24.0;2015.04.18;18:30;Nagyerdei Stadion;Debreceni VSC-TEVA;Paksi FC;2.0;0.0;2623.0
2014-2015;24.0;2015.04.18;18:30;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Puskás Akadémia FC;2.0;3.0;1457.0
2014-2015;24.0;2015.04.19;14:00;DVTK Stadion;Diósgyőri VTK;Videoton FC;1.0;2.0;2575.0
2014-2015;24.0;2015.04.19;18:30;Szusza Ferenc Stadion;Újpest FC;Lombard Pápa Termál FC;4.0;0.0;855.0
2014-2015;23.0;2015.04.10;19:00;Széktói Stadion;Kecskeméti TE;Debreceni VSC-TEVA;1.0;2.0;2712.0
2014-2015;23.0;2015.04.11;14:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;MTK Budapest;0.0;0.0;1247.0
2014-2015;23.0;2015.04.11;16:00;Bozsik Stadion;Budapest Honvéd FC;Diósgyőri VTK;1.0;1.0;1047.0
2014-2015;23.0;2015.04.11;18:30;Perutz Stadion;Lombard Pápa Termál FC;Puskás Akadémia FC;0.0;1.0;870.0
2014-2015;23.0;2015.04.11;18:30;Fehérvári úti Stadion;Paksi FC;Pécsi Mecsek FC-Matias;2.0;0.0;1238.0
2014-2015;23.0;2015.04.11;18:30;ETO Park;Győri ETO FC;Nyíregyháza Spartacus FC;2.0;3.0;2067.0
2014-2015;23.0;2015.04.12;16:30;Groupama Aréna;Ferencvárosi TC;Újpest FC;2.0;0.0;21217.0
2014-2015;23.0;2015.04.12;18:30;Sóstói Stadion;Videoton FC;Szombathelyi Swietelsky-Haladás;7.0;0.0;2510.0
2014-2015;22.0;2015.04.03;19:00;Pancho Aréna;Puskás Akadémia FC;Ferencvárosi TC;1.0;2.0;3812.0
2014-2015;22.0;2015.04.04;14:00;ETO Park;Győri ETO FC;Kecskeméti TE;1.0;1.0;1922.0
2014-2015;22.0;2015.04.04;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Debreceni VSC-TEVA;0.0;0.0;1047.0
2014-2015;22.0;2015.04.04;18:30;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Nyíregyháza Spartacus FC;3.0;0.0;879.0
2014-2015;22.0;2015.04.04;18:30;Bozsik Stadion;MTK Budapest;Lombard Pápa Termál FC;3.0;0.0;420.0
2014-2015;22.0;2015.04.04;18:30;DVTK Stadion;Diósgyőri VTK;Paksi FC;1.0;2.0;2673.0
2014-2015;22.0;2015.04.05;16:30;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Budapest Honvéd FC;1.0;3.0;2135.0
2014-2015;22.0;2015.04.05;18:30;Szusza Ferenc Stadion;Újpest FC;Videoton FC;0.0;1.0;1295.0
2014-2015;21.0;2015.03.20;19:00;Fehérvári úti Stadion;Paksi FC;Szombathelyi Swietelsky-Haladás;1.0;2.0;1148.0
2014-2015;21.0;2015.03.21;14:00;Pancho Aréna;Puskás Akadémia FC;Videoton FC;0.0;0.0;3156.0
2014-2015;21.0;2015.03.21;16:00;Perutz Stadion;Lombard Pápa Termál FC;Nyíregyháza Spartacus FC;0.0;1.0;800.0
2014-2015;21.0;2015.03.21;16:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Győri ETO FC;0.0;2.0;1347.0
2014-2015;21.0;2015.03.21;16:00;Széktói Stadion;Kecskeméti TE;Pécsi Mecsek FC-Matias;1.0;0.0;1458.0
2014-2015;21.0;2015.03.21;18:30;Bozsik Stadion;Budapest Honvéd FC;Újpest FC;2.0;2.0;1536.0
2014-2015;21.0;2015.03.22;16:30;Groupama Aréna;Ferencvárosi TC;MTK Budapest;2.0;0.0;8973.0
2014-2015;21.0;2015.03.22;18:30;Nagyerdei Stadion;Debreceni VSC-TEVA;Diósgyőri VTK;1.0;0.0;3338.0
2014-2015;20.0;2015.03.13;19:00;DVTK Stadion;Diósgyőri VTK;Pécsi Mecsek FC-Matias;2.0;2.0;3034.0
2014-2015;20.0;2015.03.14;14:00;Bozsik Stadion;MTK Budapest;Videoton FC;0.0;1.0;825.0
2014-2015;20.0;2015.03.14;16:00;Nyíregyházi Városi Stadion;Nyíregyháza Spartacus FC;Ferencvárosi TC;0.0;0.0;5500.0
2014-2015;20.0;2015.03.14;16:00;Eszperantó úti Stadion;Dunaújváros Pálhalma ASE;Kecskeméti TE;0.0;2.0;1079.0
2014-2015;20.0;2015.03.14;16:00;Pancho Aréna;Puskás Akadémia FC;Budapest Honvéd FC;1.0;1.0;1571.0
2014-2015;20.0;2015.03.14;18:00;Rohonci úti Stadion;Szombathelyi Swietelsky-Haladás;Debreceni VSC-TEVA;2.0;0.0;1730.0
2014-2015;20.0;2015.03.14;20:00;Szusza Ferenc Stadion;Újpest FC;Paksi FC;1.0;2.0;1111.0
2014-2015;20.0;2015.03.16;19:00;ETO Park;Győri ETO FC;Lombard Pápa Termál FC;0.0;0.0;2043.0
2014-2015;19.0;2015.03.06;19:00;Fehérvári úti Stadion;Paksi FC;Puskás Akadémia FC;2.0;1.0;1017.0
2014-2015;19.0;2015.03.07;14:00;Groupama Aréna;Ferencvárosi TC;Győri ETO FC;3.0;0.0;8692.0
2014-2015;19.0;2015.03.07;16:00;Széktói Stadion;Kecskeméti TE;Diósgyőri VTK;2.0;1.0;1822.0
2014-2015;19.0;2015.03.07;16:00;Perutz Stadion;Lombard Pápa Termál FC;Dunaújváros Pálhalma ASE;1.0;0.0;600.0
2014-2015;19.0;2015.03.07;16:00;PMFC Stadion;Pécsi Mecsek FC-Matias;Szombathelyi Swietelsky-Haladás;2.0;1.0;1428.0
2014-2015;19.0;2015.03.07;18:30;Sóstói Stadion;Videoton FC;Nyíregyháza Spartacus FC;3.0;0.0;2346.0
2014-2015;19.0;2015.03.08;16:30;Bozsik Stadion;Budapest Honvéd FC;MTK Budapest;0.0;2.0;1174.0
2014-2015;19.0;2015.03.08;18:30;Nagyerdei Stadion;Debreceni VSC-TEVA;Újpest FC;0.0;0.0;5014.0
